,Unnamed: 0,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,0,GP,F,18,U,GT3,A,4.0,4.0,at_home,teacher,course,mother,2.0,2.0,0.0,1,0.0,0,0,1,1,0.0,0.0,4.0,3.0,4.0,1.0,1.0,3.0,4,0,11,11
1,1,GP,F,17,U,GT3,T,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,0,1.0,0,0,0,1,1.0,0.0,5.0,3.0,3.0,1.0,NaN,3.0,2,9,11,11
2,2,GP,F,15,U,LE3,T,1.0,1.0,at_home,other,other,mother,1.0,2.0,0.0,1,0.0,0,0,1,1,1.0,0.0,4.0,3.0,2.0,2.0,3.0,3.0,6,12,13,12
3,3,GP,F,15,U,GT3,T,4.0,2.0,health,services,home,mother,1.0,3.0,0.0,0,1.0,0,1,1,1,1.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,0,14,14,14
4,4,GP,F,16,U,GT3,T,3.0,NaN,other,other,home,father,1.0,2.0,0.0,0,1.0,0,0,1,1,0.0,NaN,4.0,3.0,2.0,1.0,2.0,5.0,0,11,13,13
5,5,GP,M,16,U,NaN,T,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,4.0,2.0,1.0,NaN,5.0,6,12,12,13
6,6,GP,M,16,U,LE3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,0,0.0,0,0,1,1,1.0,0.0,NaN,4.0,4.0,1.0,1.0,3.0,0,13,12,13
7,7,GP,F,17,U,GT3,A,4.0,4.0,other,teacher,home,mother,2.0,2.0,0.0,1,1.0,0,0,1,1,0.0,0.0,4.0,1.0,4.0,1.0,1.0,1.0,2,10,13,13
8,8,GP,M,15,U,LE3,A,NaN,2.0,services,other,home,mother,1.0,2.0,0.0,0,1.0,0,0,1,1,1.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,0,15,16,17
9,9,GP,M,15,U,GT3,T,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,5.0,1.0,1.0,1.0,5.0,0,12,12,13
10,10,GP,F,15,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,0,1.0,0,0,1,1,1.0,0.0,3.0,3.0,3.0,1.0,2.0,2.0,2,14,14,14
11,11,GP,F,15,U,GT3,T,2.0,1.0,services,other,reputation,father,3.0,3.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,2.0,2.0,1.0,1.0,4.0,0,10,12,13
12,12,GP,M,15,U,LE3,T,4.0,4.0,health,services,course,father,1.0,1.0,0.0,0,1.0,0,1,1,1,1.0,0.0,4.0,3.0,3.0,1.0,3.0,5.0,0,12,13,12
13,13,GP,M,15,U,GT3,T,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,0,1.0,0,0,1,1,1.0,0.0,5.0,4.0,3.0,1.0,2.0,3.0,0,12,12,13
14,14,GP,M,15,U,GT3,NaN,2.0,2.0,other,other,home,other,1.0,3.0,0.0,0,1.0,0,0,1,1,1.0,1.0,4.0,5.0,2.0,1.0,1.0,3.0,0,14,14,15
15,15,GP,F,16,U,GT3,T,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,0,1.0,0,0,1,1,1.0,0.0,4.0,4.0,4.0,1.0,2.0,2.0,6,17,17,17
16,16,GP,F,16,U,GT3,T,4.0,4.0,services,services,reputation,mother,1.0,3.0,0.0,0,1.0,0,1,1,1,1.0,0.0,3.0,2.0,3.0,1.0,2.0,2.0,10,13,13,14
17,17,GP,F,16,U,GT3,T,3.0,3.0,other,other,reputation,mother,3.0,2.0,0.0,1,1.0,0,1,1,1,0.0,0.0,5.0,3.0,2.0,1.0,1.0,4.0,2,13,14,14
18,18,GP,M,17,U,GT3,T,3.0,2.0,services,services,course,mother,1.0,1.0,3.0,0,1.0,1,1,1,1,1.0,0.0,5.0,5.0,5.0,2.0,4.0,5.0,2,8,8,7
19,19,GP,M,16,U,LE3,T,4.0,3.0,NaN,other,home,father,1.0,1.0,0.0,0,0.0,0,1,1,1,1.0,0.0,3.0,1.0,3.0,1.0,3.0,5.0,6,12,12,12
20,20,GP,M,15,U,GT3,T,4.0,3.0,teacher,other,NaN,mother,1.0,2.0,0.0,0,0.0,0,0,1,1,1.0,0.0,4.0,4.0,NaN,1.0,1.0,1.0,0,12,13,14
21,21,GP,M,15,U,GT3,T,4.0,4.0,health,health,other,father,1.0,1.0,0.0,0,1.0,1,0,1,1,1.0,0.0,NaN,4.0,2.0,1.0,1.0,5.0,0,11,12,12
22,22,GP,M,16,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,2.0,0.0,0,0.0,0,1,1,1,1.0,0.0,4.0,5.0,1.0,1.0,3.0,5.0,0,12,13,14
23,23,GP,M,16,U,LE3,T,2.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,4.0,4.0,2.0,4.0,5.0,2,10,10,10
24,24,GP,F,15,R,GT3,T,2.0,4.0,services,health,course,mother,1.0,3.0,0.0,1,1.0,0,1,1,1,1.0,0.0,4.0,3.0,2.0,1.0,1.0,5.0,2,10,11,10
25,25,GP,F,16,U,GT3,T,NaN,2.0,services,NaN,home,mother,1.0,1.0,0.0,0,1.0,0,0,0,1,1.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,6,10,11,12
26,26,GP,M,15,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,1.0,0.0,0,1.0,0,0,1,1,1.0,0.0,NaN,2.0,2.0,1.0,2.0,5.0,8,11,12,12
27,27,GP,M,15,U,GT3,T,4.0,2.0,health,services,other,mother,1.0,1.0,0.0,0,0.0,0,0,1,1,1.0,0.0,2.0,2.0,4.0,2.0,4.0,1.0,0,11,11,11
28,28,GP,M,16,U,LE3,A,3.0,4.0,services,NaN,home,mother,1.0,2.0,0.0,1,1.0,1,1,1,1,1.0,0.0,5.0,3.0,3.0,1.0,1.0,5.0,2,12,12,13
29,29,GP,M,16,U,GT3,T,4.0,4.0,teacher,teacher,home,mother,1.0,2.0,0.0,0,1.0,1,1,1,1,1.0,1.0,4.0,4.0,NaN,5.0,5.0,5.0,4,12,11,12
30,30,GP,M,15,U,GT3,T,4.0,4.0,health,services,home,mother,1.0,2.0,0.0,0,1.0,1,0,0,1,1.0,0.0,5.0,4.0,2.0,3.0,4.0,5.0,0,10,11,11
31,31,GP,M,15,U,GT3,T,4.0,4.0,services,services,reputation,mother,2.0,2.0,0.0,0,1.0,0,1,1,1,1.0,0.0,4.0,3.0,1.0,1.0,1.0,5.0,2,15,15,15
32,32,GP,M,15,R,GT3,T,4.0,3.0,teacher,at_home,course,mother,1.0,2.0,0.0,0,1.0,0,1,1,1,1.0,1.0,4.0,5.0,2.0,1.0,1.0,5.0,0,13,14,15
33,33,GP,M,15,U,LE3,T,3.0,3.0,other,other,course,mother,NaN,2.0,0.0,0,0.0,0,1,0,1,1.0,0.0,5.0,3.0,2.0,1.0,1.0,2.0,0,13,12,12
34,34,GP,M,16,U,GT3,T,3.0,2.0,other,other,home,mother,1.0,1.0,0.0,0,1.0,0,0,0,1,1.0,0.0,5.0,4.0,3.0,1.0,1.0,5.0,4,12,12,12
35,35,GP,F,15,U,GT3,NaN,2.0,3.0,other,other,other,father,2.0,1.0,0.0,0,1.0,0,1,1,1,0.0,0.0,3.0,5.0,1.0,1.0,1.0,5.0,4,11,11,11
36,36,GP,M,15,U,LE3,T,4.0,3.0,teacher,services,home,mother,1.0,3.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,4.0,3.0,1.0,1.0,4.0,0,14,14,14
37,37,GP,M,16,R,GT3,A,4.0,4.0,other,teacher,reputation,mother,2.0,3.0,0.0,0,1.0,0,1,1,1,1.0,1.0,2.0,4.0,3.0,1.0,1.0,5.0,4,13,13,13
38,38,GP,F,15,R,GT3,T,3.0,4.0,services,health,course,mother,1.0,3.0,0.0,1,1.0,0,1,1,1,1.0,0.0,4.0,3.0,2.0,1.0,NaN,5.0,2,11,12,12
